,city,country,lat,lon,temp,hum,cloud,wind
0,Tornio,FI,65.85,24.15,33.8,86,75,6.93
1,Ungheni,MD,47.2,27.8,59.31,67,0,3.24
2,Yachimata,JP,35.65,140.32,53.74,93,0,6.93
3,Bogdanovich,RU,56.78,62.05,34.39,98,100,5.61
4,Moss Vale,AU,-34.55,150.38,54.91,100,90,8.05
5,Strășeni,MD,47.14,28.61,59.0,82,0,3.36
6,Sheridan,US,44.83,-106.92,21.38,85,90,10.29
7,Kastraki,GR,39.72,21.62,54.0,82,98,3.56
8,Christchurch,NZ,-43.53,172.63,53.08,100,30,6.93
9,San Bernardino,US,34.67,-116.17,73.67,26,75,4.09
10,Elmvale,CA,44.58,-79.87,41.65,74,44,1.01
11,Rio Novo do Sul,BR,-20.86,-40.94,74.17,87,99,8.7
12,Cadiz,ES,36.5,-5.75,67.78,60,20,6.93
13,Zandhoven,BE,51.22,4.66,59.2,82,20,13.87
14,Dannenberg,DE,53.1,11.09,55.72,85,91,4.0
15,Arroio do Meio,BR,-29.4,-51.95,84.99,65,84,5.01
16,Azacualpa,HN,15.34,-88.55,90.19,66,40,6.93
17,Andijan,UZ,40.78,72.34,39.2,80,100,4.47
18,Kengyel,HU,47.08,20.33,53.78,100,90,2.24
19,Kashmor,PK,28.43,69.58,75.22,17,0,5.64
20,Lut-od,PH,10.26,123.63,80.6,83,90,3.36
21,South Valley,US,35.01,-106.68,61.09,30,1,6.93
22,Oliveira do Bairro,PT,40.51,-8.49,62.01,89,99,1.99
23,Tagajo,JP,38.29,141.01,53.22,60,18,10.76
24,Vlčnov,CZ,49.58,17.95,49.26,93,14,5.82
25,Longos,PH,16.11,120.4,77.36,85,100,1.99
26,Bilciureşti,RO,44.73,25.8,57.92,87,100,1.12
27,Goyty,RU,43.16,45.62,55.4,36,0,4.47
28,Zavety Il’icha,RU,49.03,140.25,40.15,88,100,3.22
29,David,PA,8.43,-82.43,77.4,78,40,11.41
30,Nynäshamn,SE,58.9,17.95,40.03,95,24,5.99
31,Redlands,US,34.06,-117.18,63.84,68,90,5.93
32,Marsa,MT,35.88,14.5,70.2,83,0,14.99
33,Pragal,PT,38.67,-9.17,63.32,72,20,11.41
34,Safi,MA,32.17,-8.83,67.6,53,0,17.63
35,Szentendre,HU,47.67,19.08,53.31,88,100,1.01
36,Aldana,CO,0.88,-77.7,59.5,67,57,4.54
37,Cherniyiv,UA,48.86,24.71,57.2,82,75,4.92
38,Miercurea-Ciuc,RO,46.35,25.8,54.0,86,100,1.45
39,Novosysoyevka,RU,44.23,133.36,35.92,79,81,8.05
40,Buriti Alegre,BR,-18.14,-49.04,79.79,70,94,8.01
41,Basey,PH,11.28,125.07,77.67,89,98,6.67
42,Santa Cecília,BR,-26.96,-50.43,73.47,68,88,2.57
43,Husavik,IS,66.04,-17.34,41.0,75,75,24.16
44,Lonate Pozzolo,IT,45.6,8.75,56.26,87,0,4.7
45,Polovinnoye,RU,54.79,65.99,37.27,94,100,20.29
46,St Johann im Pongau,AT,47.35,13.2,49.98,93,93,2.51
47,Prudentópolis,BR,-25.21,-50.98,82.36,46,90,3.4
48,Wellesley,US,42.3,-71.29,67.98,68,90,6.93
49,Brigg,GB,53.55,-0.49,53.51,100,99,13.87
50,Tapiramutá,BR,-11.85,-40.79,85.66,37,66,7.7
51,Mozăceni,RO,44.57,25.17,59.23,54,100,3.74
52,Cooper City,US,26.06,-80.27,84.29,74,90,13.87
53,Nasipit,PH,8.97,125.29,76.8,83,99,3.09
54,Rakitnoye,RU,50.84,35.85,53.6,87,100,6.71
55,Cabra,ES,37.47,-4.44,64.0,66,0,4.27
56,Mindyak,RU,54.02,58.79,41.0,100,90,11.18
57,Kouvola,FI,60.87,26.7,33.8,86,0,2.24
58,Charter Township of Clinton,US,42.59,-82.92,46.35,65,75,8.05
59,Santo Cristo,PH,15.29,120.88,75.2,100,75,4.7
60,Shebekino,RU,50.41,36.91,53.6,87,99,6.71
61,Gălbinaşi,RO,45.08,26.92,63.41,39,100,4.81
62,Canyon Lake,US,29.88,-98.26,59.27,68,78,1.01
63,Konin,PL,52.22,18.25,54.03,86,13,6.98
64,Svobody,RU,44.03,43.05,51.8,53,0,4.47
65,Buneşti,RO,46.83,27.97,59.43,67,0,2.17
66,Szabadkígyós,HU,46.62,21.1,57.0,91,100,1.01
67,Alhandra,BR,-7.44,-34.91,86.0,62,20,16.11
68,Bivolari,RO,47.53,27.43,59.23,67,0,5.46
69,Remerschen,LU,49.49,6.35,54.18,93,75,11.41
70,Velyka Lepetykha,UA,47.18,33.94,62.26,57,100,5.39
71,Bedford,GB,52.13,-0.47,56.66,93,90,20.8
72,Overyata,RU,58.09,55.87,35.6,100,90,6.71
73,Ninotsminda,GE,41.26,43.59,46.4,61,49,5.82
74,Costa Rica,BR,-23.42,-54.65,91.18,42,35,3.09
75,Kangaba,ML,11.93,-8.42,85.06,30,34,4.61
76,Forbesganj,IN,26.3,87.25,72.84,94,8,5.77
77,Santo António da Charneca,PT,38.63,-9.03,64.27,72,20,11.41
78,Amalāpuram,IN,16.58,82.02,84.2,79,20,5.82
79,Champawat,IN,29.33,80.1,52.36,70,0,4.74
80,São Geraldo do Araguaia,BR,-6.4,-48.55,97.12,30,81,3.51
81,Ghātāl,IN,22.67,87.72,75.56,85,33,3.83
82,Jászszentandrás,HU,47.58,20.18,54.25,100,90,2.24
83,Danao,PH,10.52,124.03,80.6,83,90,3.36
84,Lousã,PT,40.12,-8.25,61.61,83,98,4.0
85,Hangzhou,CN,30.29,120.16,55.22,67,1,3.76
86,Hermitage,US,41.23,-80.45,46.62,70,90,8.05
87,Vikramasingapuram,IN,8.71,77.39,82.4,78,20,2.24
88,Oşeşti,RO,46.77,27.47,58.75,67,0,2.04
89,Neral,IN,19.03,73.32,84.2,89,75,4.7
90,Kemlya,RU,54.7,45.24,48.25,79,97,7.54
91,Hangha,SL,7.94,-11.14,81.61,71,69,3.85
92,Lopez Mateos,MX,15.47,-93.01,85.03,75,73,6.6
93,Furukawa,JP,38.57,140.96,47.89,75,10,6.64
94,Ivanishchi,RU,55.77,40.43,45.03,80,81,3.76
95,Bailén,ES,38.1,-3.78,59.0,73,0,3.0
96,Rasulnagar,PK,32.33,73.78,71.6,60,0,5.64
97,West Carrollton City,US,39.67,-84.25,48.0,65,75,6.93
98,Tramore,IE,52.16,-7.15,49.5,76,40,11.41
99,Cherusti,RU,55.55,40.01,46.65,85,94,3.78
100,Acapetahua,MX,15.28,-92.7,86.0,79,40,3.98
101,Bonga,ET,7.28,36.23,59.34,89,74,1.32
102,Yuzhnyy,RU,53.25,83.69,24.8,73,75,15.66
103,Gavrilov-Yam,RU,57.3,39.85,32.0,82,0,3.58
104,Gostinari,RO,44.19,26.23,57.94,87,0,2.24
105,Pegnitz,DE,49.76,11.54,49.32,87,1,2.89
106,Sing Buri,TH,14.85,100.23,75.0,65,61,2.89
107,Frătăuţii Vechi,RO,47.9,25.88,58.17,84,90,2.77
108,Ipatele,RO,46.92,27.42,59.23,67,0,2.26
109,Valdosta,US,30.83,-83.28,82.44,58,40,9.17
110,Sotik,KE,-0.68,35.12,61.12,89,100,2.68
111,Ajacuba,MX,20.09,-99.11,67.69,30,32,10.74
112,Ankeny,US,41.73,-93.61,35.94,69,75,4.7
113,Nafpaktos,GR,38.39,21.83,55.27,88,0,4.45
114,Balakirevo,RU,56.51,38.84,41.88,89,99,4.83
115,Konstantinovskiy,RU,57.83,39.59,32.0,86,0,4.61
116,Salreu,PT,40.74,-8.56,62.28,82,75,17.22
117,Luncaviţa,RO,45.28,28.27,60.8,63,100,9.17
118,Bhādra,IN,29.12,75.17,74.37,19,0,2.06
119,‘Ewa Beach,US,21.32,-158.01,74.19,94,20,3.36
120,New Ipswich,US,42.75,-71.85,62.58,82,90,5.82
121,Broager,DK,54.89,9.68,52.83,87,88,3.36
122,Acatic,MX,20.78,-102.88,77.99,53,40,4.7
123,Murcia,ES,38.0,-1.5,68.52,56,0,5.82
124,Herk-de-Stad,BE,50.94,5.17,57.72,87,97,11.41
125,Soure,BR,-0.72,-48.52,86.4,64,1,13.82
126,Sukhobezvodnoye,RU,57.05,44.89,39.61,84,100,5.26
127,Sandiat Centro,PH,17.07,121.67,75.29,93,100,3.51
128,Povorino,RU,51.19,42.25,52.0,84,100,3.04
129,Haelen,NL,51.24,5.96,58.96,83,89,5.99
130,Alicante,ES,38.35,-0.48,66.16,72,0,11.41
131,Assaí,BR,-23.37,-50.84,84.2,58,40,8.05
132,Heidelberg,ZA,-26.5,28.36,76.46,62,80,24.81
133,Nahawan,PH,9.97,124.05,80.6,83,90,3.36
134,Bogashevo,RU,56.37,85.14,28.17,74,40,8.95
135,Pér,HU,47.61,17.81,54.75,100,99,2.35
136,Redcar,GB,54.62,-1.06,47.01,92,100,4.0
137,Chernoistochinsk,RU,57.74,59.87,31.86,99,100,1.54
138,Chara,RU,56.91,118.26,22.35,91,22,0.96
139,Spokoynaya,RU,44.25,41.4,54.7,40,0,4.34
140,Lesnoye,RU,58.28,35.52,38.26,86,67,3.27
141,Country Club,US,25.95,-80.32,83.71,69,75,13.87
142,Lyubytino,RU,58.81,33.39,39.61,77,86,4.14
143,Bayugan,PH,8.76,125.77,73.92,90,100,2.19
144,San Roque,ES,36.21,-5.38,69.8,60,0,14.99
145,Samaro,PK,25.28,69.4,78.75,39,0,9.26
146,Bayonet Point,US,28.33,-82.68,85.66,63,4,1.99
147,Redenção,BR,-4.23,-38.73,85.91,58,20,23.04
148,Serrana,BR,-21.21,-47.6,77.0,69,90,9.17
149,Assesse,BE,50.37,5.02,57.2,93,99,16.11
150,Guaxupé,BR,-21.31,-46.71,65.07,94,100,5.91
151,Tatuí,BR,-23.36,-47.86,81.0,52,100,4.0
152,Tipolo,PH,10.02,124.51,80.6,83,90,3.36
153,Andreapol',RU,56.65,32.27,44.85,92,97,4.29
154,Buturugeni,RO,44.37,25.84,57.97,87,0,2.24
155,Vaux-sur-Sûre,BE,49.91,5.57,52.97,98,100,5.01
156,Cibinong,ID,-6.48,106.85,78.91,78,75,6.93
157,Radeberg,DE,51.12,13.92,51.21,81,0,5.82
158,Maryanskaya,RU,45.1,38.64,55.99,71,0,3.78
159,Mvuma,ZW,-19.28,30.53,69.35,32,5,7.56
160,Nambiyūr,IN,11.37,77.33,78.8,65,40,5.82
161,Tiszaalpár,HU,46.81,20.0,55.17,93,90,6.93
162,Chiavari,IT,44.32,9.32,58.75,99,25,5.48
163,Hayward,US,37.67,-122.08,61.7,77,90,2.68
164,El Cocuy,CO,6.41,-72.44,56.77,82,85,1.23
165,Athenry,IE,53.3,-8.74,47.66,76,20,13.87
166,Kozan,TR,37.46,35.82,76.62,28,0,5.82
167,Teplice,CZ,50.64,13.82,51.35,80,6,4.7
168,Ząbkowice Śląskie,PL,50.59,16.81,50.2,87,0,1.12
169,Stranda,NO,62.31,6.94,38.97,73,100,6.58
170,Janagdong,PH,13.9,121.51,76.14,87,100,4.97
171,Kurya,RU,51.6,82.29,25.02,89,10,7.52
172,Aesch,CH,47.47,7.6,51.46,81,20,1.12
173,Starychi,UA,49.98,23.56,55.4,87,90,4.47
174,Leesburg,US,39.12,-77.56,67.62,82,75,5.82
175,Izhma,RU,65.01,53.91,25.61,97,100,9.31
176,Trapiche,PH,10.68,122.43,76.68,84,100,2.68
177,Floriana,MT,35.9,14.51,70.21,83,0,14.99
178,Videbæk,DK,56.09,8.63,52.66,87,90,10.29
179,Quryq,KZ,43.2,51.65,60.17,90,25,11.61
180,Brăeşti,RO,47.15,27.1,59.23,67,0,2.77
181,Tancheng,CN,27.44,115.5,56.43,75,72,1.88
182,Robbinsdale,US,45.03,-93.34,29.82,68,20,3.36
183,Samāstipur,IN,25.85,85.78,75.74,48,0,4.7
184,Tržič,SI,46.36,14.31,56.34,87,75,8.05
185,Nueva Esparta,SV,13.78,-87.84,83.61,84,75,8.05
186,Palmas del Socorro,CO,6.41,-73.29,83.35,49,26,4.59
187,Harper,LR,4.38,-7.72,79.59,81,77,5.57
188,Gălăneşti,RO,47.92,25.8,59.0,84,89,2.59
189,Sohodol,RO,46.35,23.03,51.8,93,75,0.65
190,Alekseyevskaya,RU,50.29,42.18,57.0,74,100,1.01
191,Risti,EE,59.0,24.06,47.16,93,90,6.93
192,Katsuura,JP,35.13,140.3,57.25,58,0,12.75
193,Ponta Grossa,BR,-25.09,-50.16,75.72,65,77,3.69
194,Apeldoorn,NL,52.21,5.97,57.06,93,90,13.87
195,Gurupá,BR,-1.41,-51.64,96.51,34,31,5.41
196,Lewisville,US,33.05,-96.99,54.19,62,20,6.67
197,Laiwu,CN,36.19,117.66,48.51,50,74,2.89
198,Marpingen,DE,49.45,7.06,55.99,81,99,5.99
199,Lunca Corbului,RO,44.7,24.75,58.33,57,100,5.01
200,Leinefelde-Worbis,DE,51.38,10.33,54.72,100,58,1.99
201,Karagay,RU,58.27,54.94,36.54,98,100,5.44
202,Hempstead,US,40.71,-73.62,65.43,88,90,9.17
203,Ananas,HT,19.25,-71.96,86.79,53,80,7.25
204,Larreynaga,NI,12.68,-86.57,84.2,79,40,4.7
205,Malavalli,IN,12.38,77.08,70.21,85,100,2.84
206,San Félix,UY,-32.33,-58.13,82.15,67,90,5.99
207,Barurao,PH,6.9,124.6,74.17,95,100,2.17
208,Edirne,TR,41.68,26.56,66.74,43,34,5.06
209,Phoenixville,US,40.13,-75.51,70.65,73,75,9.17
